Categoria;(1) Població;Població estrangera. Total;Població estrangera. % vert.;Població estrangera. % sobre (1);% int
Alt Camp;35777;896;0,35;2,5;2
Alt Empordà;103631;10538;4,1;10,17;10
Alt Penedès;79712;3057;1,19;3,84;3
Alt Urgell;19466;749;0,29;3,85;3
Alta Ribagorça;3617;64;0,02;1,77;1
Anoia;92263;1781;0,69;1,93;1
Val d'Aran;7938;257;0,1;3,24;3
Bages;148254;3001;1,17;2,02;2
Baix Camp;146522;6257;2,43;4,27;4
Baix Ebre;67031;2260;0,88;3,37;3
Baix Empordà;105726;9472;3,68;8,96;8
Baix Llobregat;692260;22768;8,85;3,29;3
Baix Penedès;60369;3497;1,36;5,79;5
Barcelonès;2105301;92847;36,08;4,41;4
Berguedà;38087;691;0,27;1,81;1
Cerdanya;14516;530;0,21;3,65;3
Conca de Barberà;18780;350;0,14;1,86;1
Garraf;107147;5323;2,07;4,97;4
Garrigues;19355;614;0,24;3,17;3
Garrotxa;47940;2159;0,84;4,5;4
Gironès;138659;7031;2,73;5,07;5
Maresme;355714;17330;6,73;4,87;4
Moianès;9966;133;0,05;1,33;1
Montsià;57584;3084;1,2;5,36;5
Noguera;34972;907;0,35;2,59;2
Osona;129205;6897;2,68;5,34;5
Pallars Jussà;12390;285;0,11;2,3;2
Pallars Sobirà;6140;119;0,05;1,94;1
Pla d'Urgell;29872;1080;0,42;3,62;3
Pla de l'Estany;25577;1712;0,67;6,69;6
Priorat;9228;193;0,08;2,09;2
Ribera d'Ebre;21951;447;0,17;2,04;2
Ripollès;26113;519;0,2;1,99;1
Segarra;18345;866;0,34;4,72;4
Segrià;166826;4166;1,62;2,5;2
Selva;119906;8374;3,25;6,98;6
Solsonès;11638;396;0,15;3,4;3
Tarragonès;182613;6620;2,57;3,63;3
Terra Alta;12231;127;0,05;1,04;1
Urgell;31316;1489;0,58;4,75;4
Vallès Occidental;731844;18143;7,05;2,48;2
Vallès Oriental;315582;10291;4;3,26;3
Total;6361364;257320;100;4,05;4
