;Metropolità;Comarques Gironines;Camp de Tarragona;Terres de l'Ebre;Ponent;Comarques Centrals;Alt Pirineu i Aran;Penedès;Total
Membres de la llar (1);19,7;43,4;30,4;60,9;44,9;48,7;46,6;28,2;27,2
Amistats;7,4;27,5;15,1;49,9;27,6;29,1;22,8;12,2;13,4
Veïns;9,5;35;16;55,3;32,5;39;34,1;16;16,8
Companys d'estudi (2);11,8;37,5;19,2;42,3;32,7;35;30;..;18,2
Companys de feina (3);9,4;30,5;20;43,3;23,5;33,9;29,1;15,8;15,3
Usuaris o clients de Catalunya (4);8,3;18,2;11,4;27,7;20,4;25,8;20,7;7,9;11,3
Petit comerç;12,6;37,7;22,1;50,3;36,9;42,9;34,7;18,7;19,9
Gran comerç;11,3;30,9;19,4;39,1;31,9;35;27,2;16,3;17,1
Entitats financeres;22,5;48,7;31,7;59;44,7;55,5;50,7;30,8;30,1
Administració local;29,8;57,9;40,5;67,7;53;62,2;58;41,5;37,9
Adm. Generalitat de Catalunya;30,9;52,8;39,1;58,2;50,3;57,3;56,5;40,7;37,4
Administració de l'Estat;15,9;30,9;21,5;34,9;27,3;34,3;30,2;20,4;20,1
Personal mèdic;19,8;43,2;28,7;45,9;40,8;50,4;40,8;25,2;26,4
Escriure missatges de mòbil;7,2;23,3;12,3;29,6;23,4;28,4;21,6;10,1;11,8
