nom_comar;No sap llegir o escriure;Sense estudis;Primer grau;ESO, EGB, Batx. elem.;FP grau mitjà;FP grau superior;Batxillerat superior;Diplomatura;Llicenciatura i doctorat;Total
Alt Camp;812;2507;9946;9635;1681;2063;2450;1694;1294;32082
Alt Empordà;1998;9813;26079;26671;3714;2759;10037;4504;3774;89349
Alt Penedès;2428;8309;21335;19651;4779;3162;6198;3562;3185;72609
Alt Urgell;236;2504;4617;4534;853;765;2084;965;823;17381
Alta Ribagorça;56;442;868;629;198;149;403;241;216;3202
Anoia;1922;9067;26753;23556;4455;3778;7422;3662;3278;83893
Bages;3150;17052;40905;39064;7128;6402;12311;7956;6391;140359
Baix Camp;2958;13329;36742;36944;7801;6925;11196;7352;6291;129538
Baix Ebre;1417;7181;19045;16926;2783;2452;5374;2896;2221;60295
Baix Empordà;2275;8672;25238;32179;3715;3221;8992;4328;3997;92617
Baix Llobregat;17617;80043;154338;161210;40201;38785;62700;32989;30951;618834
Baix Penedès;1242;5557;15602;16844;3328;2622;5179;2548;2104;55026
Barcelonès;37546;230851;463235;417957;97890;104948;246171;137775;180061;1916434
Berguedà;566;3526;11403;10142;1686;1878;2568;1737;1302;34808
Cerdanya;175;1005;3543;3562;546;615;1787;790;813;12836
Conca de Barberà;217;1611;5751;4634;988;856;1349;815;712;16933
Garraf;1972;9622;26078;24608;4616;4525;11517;6702;6931;96571
Garrigues;196;1858;6662;4427;935;841;1226;844;586;17575
Garrotxa;906;4522;12937;12643;2139;2072;3704;2347;2078;43348
Gironès;2802;12591;30866;32989;6086;5294;13978;8309;8956;121871
Maresme;8158;33948;82330;86513;16630;15262;35142;19560;20179;317722
Montsià;1297;6279;18277;14963;2106;1823;4198;1902;1541;52386
Noguera;539;3297;10306;8733;1696;1357;2575;1863;1240;31606
Osona;2619;13104;32984;32779;6823;4923;10480;6364;5503;115579
Pallars Jussà;126;1539;3324;2263;616;675;1118;757;608;11026
Pallars Sobirà;47;551;1638;1297;328;303;690;424;396;5674
Pla d'Urgell;463;1787;9910;7307;1304;1580;2152;1465;978;26946
Pla de l'Estany;572;1919;5929;6452;1143;1095;2119;1276;1300;21805
Priorat;106;541;2978;2635;377;454;693;395;361;8540
Ribera d'Ebre;352;2677;6676;4865;1175;1158;1325;961;681;19870
Ripollès;512;2088;7857;6557;1182;1067;2138;1267;1055;23723
Segarra;258;1537;4776;5508;735;637;1610;825;705;16591
Segrià;3086;14852;39942;39879;7770;8540;15143;11319;9290;149821
Selva;2547;13044;30636;31877;4742;3967;10061;4632;3857;105363
Solsonès;213;1311;2863;2616;685;748;870;540;438;10284
Tarragonès;3925;14635;42727;44031;10579;10447;16450;10692;10091;163577
Terra Alta;189;1627;4453;2897;659;319;575;353;296;11368
Urgell;356;2621;8722;8560;1249;1157;2879;1431;1074;28049
Val d'Aran;54;366;1608;2211;489;436;856;477;393;6890
Vallès Occidental;17115;76903;167576;171632;35552;34532;72916;38028;41852;656106
Vallès Oriental;6965;31975;73506;81160;17936;16229;29398;15130;13634;285933
Catalunya;129990;656663;1500961;1463540;309298;300821;630034;351677;381436;5724420
Metropolità;91801;471651;988398;962731;217604;217443;464042;253746;296793;3964209
Comarques Gironines;11612;52649;139542;149368;22721;19475;51029;26663;25017;498076
Camp de Tarragona;9260;38180;113746;114723;24754;23367;37317;23496;20853;405696
Terres de l'Ebre;3255;17764;48451;39651;6723;5752;11472;6112;4739;143919
Ponent;4898;25952;80318;74414;13689;14112;25585;17747;13873;270588
Comarques Centrals;8470;44060;114908;108157;20777;17729;33651;20259;16912;384923
Alt Pirineu i Aran;694;6407;15598;14496;3030;2943;6938;3654;3249;57009
Barcelona;100061;514400;1100161;1068189;237646;234413;496726;273424;313238;4338258
Girona;11755;53480;142417;152246;23203;19951;52573;27312;25677;508614
Lleida;5659;32839;96186;88731;16972;17338;31946;21333;16929;327933
Tarragona;12515;55944;162197;154374;31477;29119;48789;29608;25592;549615

