nom_comar;No sap llegir o escriure;Sense estudis;Educació primària;ESO;Batxillerat superior;FP grau mitjà;FP grau superior;Diplomatura;Grau universitari;Llicenciatura i doctorat;Total
Alt Camp;615;2614;6346;11967;3274;3198;3250;2543;525;2793;37125
Alt Empordà;2156;8032;18803;37222;17923;7469;5438;6107;3186;8095;114430
Alt Penedès;1880;7041;12251;26688;9881;7488;6391;5035;1346;6995;84996
Alt Urgell;146;1620;2782;5859;1843;1545;1058;1232;335;1547;17966
Alta Ribagorça;..;296;538;904;671;226;269;303;102;253;3587
Anoia;1952;8642;13702;32773;11116;7091;7336;5572;1530;6077;95790
Bages;2580;13431;23419;49908;17553;11556;11144;10359;1764;11519;153232
Baix Camp;2959;12401;21821;46645;17841;12623;12615;10251;3431;13513;154100
Baix Ebre;1696;6674;12696;21591;7415;4605;4645;3825;1062;3996;68204
Baix Empordà;2484;9881;17338;37205;14395;6533;5667;5898;2453;8224;110078
Baix Llobregat;12970;60364;77454;188483;85135;54484;59485;41397;11768;57040;648580
Baix Penedès;1813;6862;12297;25967;11153;7251;5967;4242;1291;4687;81531
Barcelonès;26104;154437;247905;446309;285232;114228;131064;139426;64053;308387;1917145
Berguedà;722;3217;4811;13123;2974;2610;2721;1957;455;2281;34870
Cerdanya;93;918;2762;4704;2389;1060;828;1117;494;1573;15937
Conca de Barberà;289;1185;2809;6049;1785;1496;1541;1246;188;1073;17661
Garraf;1819;8389;14984;33328;17371;7424;8685;8786;3260;15484;119530
Garrigues;349;1306;3172;6424;1801;1269;1009;939;171;825;17265
Garrotxa;1046;4433;8179;14099;4999;3396;3027;2812;953;3137;46082
Gironès;2561;10222;19297;43093;21666;8957;8756;11142;3627;17538;146858
Maresme;6715;27891;45514;105938;48448;24370;24854;25313;8520;35932;353494
Montsià;1102;5139;10924;20786;7091;4264;3485;3071;689;3018;59570
Noguera;525;3016;5739;11305;4101;2693;1802;2017;494;1831;33523
Osona;2466;10894;18863;41356;14292;9670;7373;8340;1791;9990;125035
Pallars Jussà;206;1125;1906;2773;1461;828;920;926;399;949;11493
Pallars Sobirà;39;437;878;1731;1009;503;497;450;97;604;6244
Pla d'Urgell;341;2535;4965;10121;3734;2551;2301;1946;312;1904;30709
Pla de l'Estany;283;1499;3681;8401;3390;1728;1484;1608;381;2518;24972
Priorat;127;490;1683;3081;846;655;526;398;73;657;8536
Ribera d'Ebre;377;2360;3603;5661;1919;1751;1744;1025;266;1232;19938
Ripollès;462;2124;4005;7553;2147;1751;1508;1153;304;1443;22450
Segarra;253;1276;2830;6673;2614;1618;1237;1217;284;1032;19034
Segrià;2831;12119;24430;52903;21794;12874;11427;13434;3024;16050;170885
Selva;2324;11856;21999;47101;21081;9435;8248;6996;2477;9177;140694
Solsonès;226;1159;1689;3099;1147;1155;1120;808;86;830;11319
Tarragonès;3957;15456;26233;54109;26374;16316;18062;15725;4798;24311;205341
Terra Alta;73;1276;2200;4042;870;960;472;405;112;480;10889
Urgell;420;2017;4853;10706;4109;2171;1707;1852;368;2263;30465
Val d'Aran;293;350;805;1885;1805;577;925;574;222;958;8395
Vallès Occidental;13379;63271;87272;208464;96771;51849;55906;48434;14473;81886;721706
Vallès Oriental;5559;28850;39876;102313;41806;25752;28028;19109;5541;26954;323788
Catalunya;106217;517107;837313;1762340;843227;437978;454519;418988;146704;699055;6223448
Metropolità;64726;334812;498021;1051506;557393;270684;299337;273680;104355;510200;3964714
Comarques Gironines;11315;48048;93302;194674;85602;39268;34128;35715;13380;50131;605564
Camp de Tarragona;7947;32146;58891;121851;50120;34288;35994;30163;9016;42347;422763
Terres de l'Ebre;3248;15449;29422;52080;17295;11581;10345;8326;2129;8726;158601
Ponent;4720;22269;45988;98131;38152;23175;19483;21405;4653;23904;301881
Comarques Centrals;5994;28701;48783;107486;35967;24991;22357;21463;4095;24620;324457
Alt Pirineu i Aran;803;4746;9671;17856;9178;4738;4496;4602;1649;5884;63623
Penedès;7465;30935;53234;118756;49520;29253;28379;23635;7427;33243;381846
Barcelona;76140;386418;586078;1248630;630502;316563;342990;313676;114502;562484;4577982
Girona;11377;48817;95531;198297;87617;40009;34747;36639;13739;51374;618146
Lleida;5692;27414;55095;115515;46541;28286;24475;25943;6028;29436;364426
Tarragona;13008;54458;100610;199898;78568;53120;52307;42731;12435;55761;662895

