any;comarca o Aran;concepte;estat;valor
2015;Alt Camp;població ocupada (%);;61,5
2015;Alt Camp;treballadors de baixa qualificació (%);;15,3
2015;Alt Camp;població amb estudis baixos (%);..; 
2015;Alt Camp;població jove sense estudis postobligatoris (%);..; 
2015;Alt Camp;estrangers de països de renda baixa o mitjana (%);;10,3
2015;Alt Camp;renda mitjana per persona (€);;11251
2015;Alt Empordà;població ocupada (%);;56,9
2015;Alt Empordà;treballadors de baixa qualificació (%);;17,1
2015;Alt Empordà;població amb estudis baixos (%);..; 
2015;Alt Empordà;població jove sense estudis postobligatoris (%);..; 
2015;Alt Empordà;estrangers de països de renda baixa o mitjana (%);;17,7
2015;Alt Empordà;renda mitjana per persona (€);;10314
2015;Alt Penedès;població ocupada (%);;63,1
2015;Alt Penedès;treballadors de baixa qualificació (%);;13
2015;Alt Penedès;població amb estudis baixos (%);..; 
2015;Alt Penedès;població jove sense estudis postobligatoris (%);..; 
2015;Alt Penedès;estrangers de països de renda baixa o mitjana (%);;9
2015;Alt Penedès;renda mitjana per persona (€);;11842
2015;Alt Urgell;població ocupada (%);;53
2015;Alt Urgell;treballadors de baixa qualificació (%);;15,7
2015;Alt Urgell;població amb estudis baixos (%);..; 
2015;Alt Urgell;població jove sense estudis postobligatoris (%);..; 
2015;Alt Urgell;estrangers de països de renda baixa o mitjana (%);;6,3
2015;Alt Urgell;renda mitjana per persona (€);;10043
2015;Alta Ribagorça;població ocupada (%);;61,7
2015;Alta Ribagorça;treballadors de baixa qualificació (%);;11,8
2015;Alta Ribagorça;població amb estudis baixos (%);..; 
2015;Alta Ribagorça;població jove sense estudis postobligatoris (%);..; 
2015;Alta Ribagorça;estrangers de països de renda baixa o mitjana (%);;10,3
2015;Alta Ribagorça;renda mitjana per persona (€);;12636
2015;Anoia;població ocupada (%);;59,8
2015;Anoia;treballadors de baixa qualificació (%);;13,6
2015;Anoia;població amb estudis baixos (%);..; 
2015;Anoia;població jove sense estudis postobligatoris (%);..; 
2015;Anoia;estrangers de països de renda baixa o mitjana (%);;6,9
2015;Anoia;renda mitjana per persona (€);;11231
2015;Aran;població ocupada (%);;62,5
2015;Aran;treballadors de baixa qualificació (%);;9,9
2015;Aran;població amb estudis baixos (%);..; 
2015;Aran;població jove sense estudis postobligatoris (%);..; 
2015;Aran;estrangers de països de renda baixa o mitjana (%);;12,7
2015;Aran;renda mitjana per persona (€);;12459
2015;Bages;població ocupada (%);;60
2015;Bages;treballadors de baixa qualificació (%);;14,9
2015;Bages;població amb estudis baixos (%);..; 
2015;Bages;població jove sense estudis postobligatoris (%);..; 
2015;Bages;estrangers de països de renda baixa o mitjana (%);;9,3
2015;Bages;renda mitjana per persona (€);;11919
2015;Baix Camp;població ocupada (%);;57,4
2015;Baix Camp;treballadors de baixa qualificació (%);;13,2
2015;Baix Camp;població amb estudis baixos (%);..; 
2015;Baix Camp;població jove sense estudis postobligatoris (%);..; 
2015;Baix Camp;estrangers de països de renda baixa o mitjana (%);;12,9
2015;Baix Camp;renda mitjana per persona (€);;11021
2015;Baix Ebre;població ocupada (%);;54
2015;Baix Ebre;treballadors de baixa qualificació (%);;17,7
2015;Baix Ebre;població amb estudis baixos (%);..; 
2015;Baix Ebre;població jove sense estudis postobligatoris (%);..; 
2015;Baix Ebre;estrangers de països de renda baixa o mitjana (%);;13,7
2015;Baix Ebre;renda mitjana per persona (€);;9605
2015;Baix Empordà;població ocupada (%);;57,3
2015;Baix Empordà;treballadors de baixa qualificació (%);;16,3
2015;Baix Empordà;població amb estudis baixos (%);..; 
2015;Baix Empordà;població jove sense estudis postobligatoris (%);..; 
2015;Baix Empordà;estrangers de països de renda baixa o mitjana (%);;14,8
2015;Baix Empordà;renda mitjana per persona (€);;10571
2015;Baix Llobregat;població ocupada (%);;62,5
