;Només català;Més català que castellà;Català i castellà;Més castellà que català;Només castellà;Altres llengües
Membres de la llar (1);31,6;3,6;8,3;6;42,6;5,5
Amistats;22,5;10,8;16,8;9;33,9;2,7
Veïns;22,7;9,5;16,5;8,6;40,2;0,4
Companys d'estudi (2);33,4;15,3;19,1;7,7;19;..
Companys de feina (3);23,1;10,5;19,3;9,7;32,1;1
Petit comerç;28,7;11;14,9;7,5;36;0,2
Gran comerç;23,9;9,9;15,5;9,5;39,4;..
Entitats financeres;37,6;7,3;10,8;5,4;37,2;0
Personal mèdic;34,4;7,2;11,6;5,1;40,9;0,1
Escriure notes personals;25,2;3,3;6,9;4;52,9;4,2
