;L'entén;El sap parlar;El sap llegir;El sap escriure;No l'entén;Població de 2 anys i més;;% sap parlar
Alt Camp;33554;29614;28735;20898;1082;34636;;85,50063518
Alt Empordà;91607;77076;75533;52307;5467;97074;;79,39922121
Alt Penedès;75817;63681;62607;43738;2891;78708;;80,90791279
Alt Urgell;18200;16105;15234;10536;418;18618;;86,50230959
Alta Ribagorça;3352;2839;2772;1793;68;3420;;83,01169591
Anoia;87160;71916;70400;50265;3826;90986;;79,04073154
Bages;146061;124890;122734;91584;4875;150936;;82,74367944
Baix Camp;134212;109070;107200;76164;6867;141079;;77,31129367
Baix Ebre;62834;56037;51400;33986;1961;64795;;86,48352496
Baix Empordà;94837;80095;79314;57952;5356;100193;;79,94071442
Baix Llobregat;621384;442487;456488;291327;51172;672556;;65,79184484
Baix Penedès;56284;43668;43538;29715;3500;59784;;73,04295464
Barcelonès;1914555;1438131;1456061;907572;129735;2044290;;70,34867851
Berguedà;36236;33275;32182;24148;753;36989;;89,95917705
Cerdanya;13434;11704;11273;8354;369;13803;;84,79316091
Conca de Barberà;17764;16531;16173;12576;390;18154;;91,05982153
Garraf;99786;79113;78399;53299;5267;105053;;75,30770183
Garrigues;18375;17339;16604;11550;279;18654;;92,9505736
Garrotxa;45353;41904;40406;29157;1234;46587;;89,94783953
Gironès;127727;109550;108902;81800;5058;132785;;82,50178861
Maresme;329087;266522;264155;184299;16913;346000;;77,02947977
Montsià;54722;48674;43182;28523;1559;56281;;86,48389332
Noguera;33092;30691;29300;20425;733;33825;;90,73466371
Osona;120820;108036;105072;82067;4721;125541;;86,05634813
Pallars Jussà;11494;10423;10030;7307;225;11719;;88,94103592
Pallars Sobirà;5972;5533;5313;3763;64;6036;;91,66666667
Pla d'Urgell;28284;25648;24880;18102;736;29020;;88,38042729
Pla de l'Estany;22867;20886;20203;15085;685;23552;;88,68036685
Priorat;8904;8342;8143;6144;115;9019;;92,49362457
Ribera d'Ebre;20928;19285;18060;12310;343;21271;;90,66334446
Ripollès;24659;22137;21444;16814;428;25087;;88,24092159
Segarra;17085;15483;14975;11157;884;17969;;86,16506205
Segrià;156694;135295;129924;86829;4923;161617;;83,71334699
Selva;108616;88916;87708;62156;5807;114423;;77,70815308
Solsonès;10787;10006;9680;7378;266;11053;;90,52745861
Tarragonès;167501;131626;133276;89726;9886;177387;;74,20273188
Terra Alta;11877;11047;9987;5218;147;12024;;91,87458417
Urgell;29349;26750;25889;20335;824;30173;;88,65542041
Val d'Aran;7227;5866;5634;3281;295;7522;;77,98457857
Vallès Occidental;674260;510519;516279;346512;41653;715913;;71,3102011
Vallès Oriental;295117;235901;231394;160892;17102;312219;;75,55626019
Catalunya;5837874;4602611;4590483;3077044;338877;6176751;;74,51508082
Metropolità;4010006;3036354;3065383;1987639;264733;4274739;;71,03016114
Comarques Gironines;515666;440564;433510;315271;24035;539701;;81,63112538
Camp de Tarragona;418219;338851;337065;235223;21840;440059;;77,00126574
Terres de l'Ebre;150361;135043;122629;80037;4010;154371;;87,47951364
Ponent;282879;251206;241572;168398;8379;291258;;86,24861806
Comarques Centrals;401064;348123;340068;255442;14441;415505;;83,7831073
Alt Pirineu i Aran;59679;52470;50256;35034;1439;61118;;85,85032233
Barcelona;4399655;3373719;3395035;2235149;278926;4678581;;72,1098769
Girona;526685;450158;442784;322300;24362;551047;;81,69139837
Lleida;342954;304840;292970;204335;9739;352693;;86,43210951
Tarragona;568580;473894;459694;315260;25850;594430;;79,72242316
