;L'entén;El sap parlar;El sap llegir;El sap escriure;No l'entén;Població de 2 anys i més;;% sap parlar;% int
Alt Camp;42677;36667;37514;28027;971;43648;;84,00614003;84
Alt Empordà;127128;97018;103691;74454;8014;135142;;71,78967308;71
Alt Penedès;98905;83190;85661;64215;3012;101916;;81,62604498;81
Alt Urgell;20245;17547;18286;13328;360;20605;;85,158942;85
Alta Ribagorça;3997;3248;3377;2418;..;4032;;80,55555556;80
Anoia;111147;90395;94676;69379;4316;115462;;78,28982696;78
Bages;173062;146726;151829;114435;5949;179012;;81,96433759;81
Baix Camp;176508;139197;147335;108874;9623;186131;;74,78442602;74
Baix Ebre;77044;64438;64923;45543;2568;79612;;80,94005929;80
Baix Empordà;121682;97255;101989;75972;7089;128771;;75,52554535;75
Baix Llobregat;730102;526488;583523;402912;44446;774549;;67,97349167;67
Baix Penedès;91734;68163;74789;51568;5706;97440;;69,95381773;69
Barcelonès;2058268;1487946;1653636;1092694;129239;2187508;;68,02013981;68
Berguedà;39162;35326;35520;27125;656;39818;;88,71866995;88
Cerdanya;17780;14488;15162;11369;502;18281;;79,25168207;79
Conca de Barberà;20030;17624;17913;14020;410;20440;;86,22309198;86
Garraf;134184;104014;112854;79752;6989;141174;;73,6778727;73
Garrigues;19128;16779;17063;12472;543;19671;;85,29815464;85
Garrotxa;51676;45137;45573;34735;1966;53642;;84,14488647;84
Gironès;167810;141119;145905;115264;8645;176456;;79,97404452;79
Maresme;404957;326496;344353;252721;15116;420074;;77,72344873;77
Montsià;67547;54647;56357;36302;1773;69320;;78,83294864;78
Noguera;37555;31766;32248;23548;1208;38764;;81,94716747;81
Osona;144623;126351;127992;103804;4607;149229;;84,66919969;84
Pallars Jussà;12680;11028;11052;8246;403;13083;;84,29259344;84
Pallars Sobirà;7056;6255;6283;4699;79;7134;;87,67872161;87
Pla d'Urgell;35088;29963;30552;23031;1067;36156;;82,87144596;82
Pla de l'Estany;29861;26272;26621;21279;272;30133;;87,18680516;87
Priorat;9532;8619;8626;6598;181;9713;;88,73674457;88
Ribera d'Ebre;21852;19060;18807;13229;974;22826;;83,50127048;83
Ripollès;24970;21990;22481;16736;384;25355;;86,72845593;86
Segarra;21009;16973;17647;13379;1532;22541;;75,29834524;75
Segrià;191174;155291;161693;117610;9527;200702;;77,37391755;77
Selva;157435;122721;129858;95781;8951;166386;;73,75680646;73
Solsonès;12730;11465;11629;9260;552;13282;;86,31983135;86
Tarragonès;230102;170457;189786;130007;13491;243593;;69,97614874;69
Terra Alta;12186;11031;10788;7051;108;12294;;89,72669595;89
Urgell;34834;29772;30182;23321;1008;35842;;83,06456113;83
Val d'Aran;8719;6138;7105;4562;932;9651;;63,59962698;63
Vallès Occidental;829289;632851;684152;493101;38334;867623;;72,94078188;72
Vallès Oriental;373874;293573;310919;226398;15189;389063;;75,45641708;75
Catalunya;6949344;5345484;5750348;4069219;356728;7306072;;73,16495102;73
Metropolità;4396490;3267354;3576583;2467826;242325;4638815;;70,43510034;70
Comarques Gironines;680563;551512;576117;434221;35321;715884;;77,03929687;77
Camp de Tarragona;478849;372565;401174;287527;24676;503525;;73,99136091;73
Terres de l'Ebre;178629;149177;150874;102126;5423;184052;;81,05155065;81
Ponent;338790;280544;289386;213361;14885;353675;;79,32254188;79
Comarques Centrals;369577;319868;326970;254624;11764;381342;;83,87956218;83
Alt Pirineu i Aran;70476;58703;61264;44621;2312;72788;;80,64928285;80
Penedès;435970;345761;367979;264913;20022;455992;;75,82611098;75
Barcelona;5097395;3852980;4184851;2926178;267892;5365286;;71,81313354;71
Girona;694660;562826;587975;443144;35701;730362;;77,06123813;77
Lleida;408077;339773;350685;258675;17331;425408;;79,86991312;79
Tarragona;749212;589905;626837;441220;35805;785016;;75,14560213;75
