Població estrangera a 1 de gener. Per comarques i Aran. 2001
Catalunya
Font: Idescat, a partir del Padró continu de l'INE.
Les dades es presenten tots els anys amb la mateixa distribució territorial, actualment vigent, de 41 comarques i Aran, d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i de la Llei 1/2015, del règim especial d'Aran.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pmhestrangera/?b=4&t=2001
Categoria;(1) Població;Població estrangera. Total;Població estrangera. % vert.;Població estrangera. % sobre (1)
Alt Camp;35777;896;0,35;2,50
Alt Empordà;103631;10538;4,10;10,17
Alt Penedès;79712;3057;1,19;3,84
Alt Urgell;19466;749;0,29;3,85
Alta Ribagorça;3617;64;0,02;1,77
Anoia;92263;1781;0,69;1,93
Aran;7938;257;0,10;3,24
Bages;148254;3001;1,17;2,02
Baix Camp;146522;6257;2,43;4,27
Baix Ebre;67031;2260;0,88;3,37
Baix Empordà;105726;9472;3,68;8,96
Baix Llobregat;692260;22768;8,85;3,29
Baix Penedès;60369;3497;1,36;5,79
Barcelonès;2105301;92847;36,08;4,41
Berguedà;38087;691;0,27;1,81
Cerdanya;14516;530;0,21;3,65
Conca de Barberà;18780;350;0,14;1,86
Garraf;107147;5323;2,07;4,97
Garrigues;19355;614;0,24;3,17
Garrotxa;47940;2159;0,84;4,50
Gironès;138659;7031;2,73;5,07
Maresme;355714;17330;6,73;4,87
Moianès;9966;133;0,05;1,33
Montsià;57584;3084;1,20;5,36
Noguera;34972;907;0,35;2,59
Osona;129205;6897;2,68;5,34
Pallars Jussà;12390;285;0,11;2,30
Pallars Sobirà;6140;119;0,05;1,94
Pla d'Urgell;29872;1080;0,42;3,62
Pla de l'Estany;25577;1712;0,67;6,69
Priorat;9228;193;0,08;2,09
Ribera d'Ebre;21951;447;0,17;2,04
Ripollès;26113;519;0,20;1,99
Segarra;18345;866;0,34;4,72
Segrià;166826;4166;1,62;2,50
Selva;119906;8374;3,25;6,98
Solsonès;11638;396;0,15;3,40
Tarragonès;182613;6620;2,57;3,63
Terra Alta;12231;127;0,05;1,04
Urgell;31316;1489;0,58;4,75
Vallès Occidental;731844;18143;7,05;2,48
Vallès Oriental;315582;10291;4,00;3,26
Total;6361364;257320;100,00;4,05

