Categoria;(1) Població;Població estrangera. Total;Població estrangera. % vert.;Població estrangera. % sobre (1);% int
Alt Camp;45540;6126;0,48;13,45;13
Alt Empordà;144926;36373;2,86;25,1;25
Alt Penedès;110929;11998;0,94;10,82;10
Alt Urgell;20482;2714;0,21;13,25;13
Alta Ribagorça;3958;484;0,04;12,23;12
Anoia;125065;11885;0,93;9,5;9
Val d'Aran;10268;1699;0,13;16,55;16
Bages;180873;23017;1,81;12,73;12
Baix Camp;197525;33583;2,64;17;17
Baix Ebre;79636;14209;1,12;17,84;17
Baix Empordà;138517;27921;2,2;20,16;20
Baix Llobregat;833540;91966;7,23;11,03;11
Baix Penedès;112460;17578;1,38;15,63;15
Barcelonès;2280042;483968;38,05;21,23;21
Berguedà;40279;4024;0,32;9,99;9
Cerdanya;19443;2716;0,21;13,97;13
Conca de Barberà;20176;2412;0,19;11,95;11
Garraf;156794;24077;1,89;15,36;15
Garrigues;19011;2804;0,22;14,75;14
Garrotxa;59750;10571;0,83;17,69;17
Gironès;198582;41040;3,23;20,67;20
Maresme;462213;56897;4,47;12,31;12
Moianès;14428;1381;0,11;9,57;9
Montsià;68744;12126;0,95;17,64;17
Noguera;39297;7231;0,57;18,4;18
Osona;165229;27448;2,16;16,61;16
Pallars Jussà;13199;1843;0,14;13,96;13
Pallars Sobirà;7181;684;0,05;9,53;9
Pla d'Urgell;37045;7353;0,58;19,85;19
Pla de l'Estany;32941;4909;0,39;14,9;14
Priorat;9238;1058;0,08;11,45;11
Ribera d'Ebre;21920;3658;0,29;16,69;16
Ripollès;25510;2652;0,21;10,4;10
Segarra;23601;6638;0,52;28,13;28
Segrià;212388;42689;3,36;20,1;20
Selva;177542;36403;2,86;20,5;20
Solsonès;13632;1530;0,12;11,22;11
Tarragonès;263428;47236;3,71;17,93;17
Terra Alta;11408;1546;0,12;13,55;13
Urgell;37447;7350;0,58;19,63;19
Vallès Occidental;940881;110621;8,7;11,76;11
Vallès Oriental;417543;39392;3,1;9,43;9
Total;7792611;1271810;100;16,32;16
